Scheme	Time (s)	Delay (ms)
bbr	4.976793	56.94
bbr	4.976808	56.91
bbr	4.976838	54.11
bbr	4.976861	54.10
bbr	4.981392	55.73
bbr	4.981434	55.74
bbr	4.981486	52.93
bbr	4.981514	52.91
bbr	4.981554	50.03
bbr	4.982546	50.98
bbr	4.982618	48.20
bbr	4.982630	48.18
bbr	4.983637	46.28
bbr	4.983665	46.27
bbr	4.984762	44.48
bbr	4.985827	45.51
bbr	4.986939	43.81
bbr	4.986967	43.79
bbr	4.989182	43.13
bbr	4.990379	44.30
bbr	4.991463	42.48
bbr	4.991505	42.50
bbr	4.992574	40.64
bbr	4.993717	41.75
bbr	4.994890	40.07
bbr	4.994925	40.07
bbr	4.998086	40.43
bbr	4.998124	40.43
bbr	4.998176	37.61
bbr	4.999221	38.63
bbr	5.009369	45.81
bbr	5.009403	45.80
bbr	5.009432	42.99
bbr	5.009441	42.96
bbr	5.009449	40.10
bbr	5.009478	40.09
bbr	5.009530	37.34
bbr	5.009563	37.33
bbr	5.009592	34.43
bbr	5.009614	34.40
bbr	5.009626	31.59
bbr	5.010324	32.25
bbr	5.011424	30.44
bbr	5.011539	30.52
bbr	5.012483	31.44
bbr	5.013625	32.57
bbr	5.015442	31.59
bbr	5.015509	31.63
bbr	5.030612	27.86
bbr	5.030676	27.87
bbr	5.030695	26.43
bbr	5.030719	26.40
bbr	5.030732	23.58
bbr	5.030760	23.57
bbr	5.032858	22.77
bbr	5.034794	24.66
bbr	5.035950	22.94
bbr	5.038476	25.40
bbr	5.040637	24.75
bbr	5.041693	25.78
bbr	5.044797	26.01
bbr	5.045912	27.10
bbr	5.048035	26.33
bbr	5.048098	26.36
bbr	5.048110	23.47
bbr	5.049290	24.60
bbr	5.050425	22.88
bbr	5.051483	23.90
bbr	5.053207	22.77
bbr	5.053256	22.77
bbr	5.054293	20.95
bbr	5.056142	22.75
bbr	5.068990	32.73
bbr	5.070103	33.80
bbr	5.070140	30.95
bbr	5.072501	33.26
bbr	5.072539	30.42
bbr	5.072576	30.42
bbr	5.072592	27.62
bbr	5.072616	27.61
bbr	5.072645	24.71
bbr	5.072669	24.68
bbr	5.072682	21.87
bbr	5.075762	24.91
bbr	5.076880	23.11
bbr	5.076943	23.14
bbr	5.078307	21.67
bbr	5.078392	21.72
bbr	5.080518	20.95
bbr	5.091047	31.44
bbr	5.091097	28.66
bbr	5.091196	28.73
bbr	5.091225	25.87
bbr	5.091299	25.89
bbr	5.091329	23.04
bbr	5.091385	23.06
bbr	5.092282	21.08
bbr	5.093971	22.73
bbr	5.098046	23.96
bbr	5.098184	24.05
bbr	5.099204	22.22
bbr	5.108645	31.63
bbr	5.108682	28.78
bbr	5.108722	28.78
bbr	5.108736	25.91
bbr	5.108762	25.90
bbr	5.108774	22.96
bbr	5.108799	22.95
bbr	5.109897	21.25
bbr	5.110273	21.59
bbr	5.112564	21.02
bbr	5.112631	21.05
bbr	5.115371	20.92
bbr	5.115432	20.95
bbr	5.125189	27.72
bbr	5.125248	27.69
bbr	5.127304	26.99
bbr	5.127368	26.98
bbr	5.127380	24.13
bbr	5.127389	24.11
bbr	5.130400	24.29
bbr	5.130465	24.31
bbr	5.131777	22.77
bbr	5.131852	22.81
bbr	5.134607	22.67
bbr	5.134700	22.70
bbr	5.135715	23.70
bbr	5.136802	24.77
bbr	5.137526	22.74
bbr	5.137576	22.76
bbr	5.139336	21.59
bbr	5.142259	24.48
bbr	5.150228	29.54
bbr	5.150300	29.52
bbr	5.150319	26.78
bbr	5.150332	26.76
bbr	5.150361	23.87
bbr	5.150377	23.78
bbr	5.151337	22.07
bbr	5.153804	24.49
bbr	5.154819	22.59
bbr	5.154848	22.58
bbr	5.157195	22.02
bbr	5.158321	23.08
bbr	5.160668	22.64
bbr	5.162850	24.78
bbr	5.164127	23.22
