Scheme	Time (s)	Delay (ms)
pybbr	4.712427	38.33
pybbr	4.714294	39.27
pybbr	4.715356	39.40
pybbr	4.716134	39.24
pybbr	4.717053	39.23
pybbr	4.718138	39.38
pybbr	4.720801	41.11
pybbr	4.721864	41.21
pybbr	4.722676	41.13
pybbr	4.723620	41.12
pybbr	4.724540	41.12
pybbr	4.726343	42.00
pybbr	4.727406	42.12
pybbr	4.728256	42.07
pybbr	4.729211	42.07
pybbr	4.730111	42.03
pybbr	4.732106	43.09
pybbr	4.733209	43.26
pybbr	4.734089	43.24
pybbr	4.735179	43.37
pybbr	4.736294	43.55
pybbr	4.738349	44.66
pybbr	4.739386	44.77
pybbr	4.740422	44.88
pybbr	4.741550	45.08
pybbr	4.742620	45.22
pybbr	4.744213	45.88
pybbr	4.745700	46.43
pybbr	4.746229	46.03
pybbr	4.747277	46.15
pybbr	4.748277	46.22
pybbr	4.750443	45.58
pybbr	4.751973	46.19
pybbr	4.752426	45.70
pybbr	4.753547	45.90
pybbr	4.754469	45.89
pybbr	4.756679	46.23
pybbr	4.757085	45.68
pybbr	4.758184	45.86
pybbr	4.759145	45.90
pybbr	4.760211	46.02
pybbr	4.762219	46.18
pybbr	4.763327	46.35
pybbr	4.764437	45.60
pybbr	4.765279	45.51
pybbr	4.766338	45.64
pybbr	4.768384	45.81
pybbr	4.769484	45.98
pybbr	4.771477	47.04
pybbr	4.771489	46.13
pybbr	4.772571	46.29
pybbr	4.774120	45.97
pybbr	4.775220	46.13
pybbr	4.776102	46.07
pybbr	4.777192	46.24
pybbr	4.778271	45.78
pybbr	4.780304	46.30
pybbr	4.781434	45.85
pybbr	4.782334	45.20
pybbr	4.783428	44.67
pybbr	4.785395	45.09
pybbr	4.786482	44.56
pybbr	4.787617	44.16
pybbr	4.788531	43.52
pybbr	4.789646	43.05
pybbr	4.790055	41.90
pybbr	4.792325	42.62
pybbr	4.793751	42.52
pybbr	4.794259	41.47
pybbr	4.795360	41.02
pybbr	4.796284	40.38
pybbr	4.798473	41.02
pybbr	4.799602	40.60
pybbr	4.800727	40.19
pybbr	4.803029	40.95
pybbr	4.803045	39.41
pybbr	4.804176	39.01
pybbr	4.805306	38.58
pybbr	4.806398	38.13
pybbr	4.807537	37.72
pybbr	4.808639	37.27
pybbr	4.811002	38.09
pybbr	4.811025	36.60
pybbr	4.812137	36.14
pybbr	4.813283	35.73
pybbr	4.814401	35.30
pybbr	4.816686	36.04
pybbr	4.817826	35.62
pybbr	4.818899	35.16
pybbr	4.819100	33.82
pybbr	4.820187	33.36
pybbr	4.822392	34.02
pybbr	4.823540	33.56
pybbr	4.824635	33.11
pybbr	4.825794	32.72
pybbr	4.826924	32.29
pybbr	4.828152	31.98
pybbr	4.829276	31.96
pybbr	4.831453	32.99
pybbr	4.831469	31.88
pybbr	4.832560	31.83
pybbr	4.834895	33.02
pybbr	4.836011	32.98
pybbr	4.836025	31.86
pybbr	4.837246	31.95
pybbr	4.839451	33.04
pybbr	4.840586	33.02
pybbr	4.841705	32.98
pybbr	4.842766	32.90
pybbr	4.844088	33.09
pybbr	4.844120	31.99
pybbr	4.846332	33.05
pybbr	4.847431	33.03
pybbr	4.848532	32.99
pybbr	4.849746	33.06
pybbr	4.850843	33.02
pybbr	4.852035	33.05
pybbr	4.853097	32.97
pybbr	4.854145	32.90
pybbr	4.855397	33.03
pybbr	4.856545	33.01
pybbr	4.858879	34.24
pybbr	4.860006	34.21
pybbr	4.860020	33.04
pybbr	4.861218	33.14
pybbr	4.862315	33.08
pybbr	4.864668	34.33
pybbr	4.865804	34.25
pybbr	4.866865	34.24
pybbr	4.867969	34.20
pybbr	4.868026	33.07
pybbr	4.870255	34.15
pybbr	4.872446	35.21
pybbr	4.872461	34.14
pybbr	4.873729	34.23
pybbr	4.874929	34.33
pybbr	4.876131	34.34
pybbr	4.877233	34.34
pybbr	4.878298	34.28
pybbr	4.879466	34.27
pybbr	4.880643	34.32
pybbr	4.882976	35.50
pybbr	4.884082	35.47
pybbr	4.884113	34.36
pybbr	4.885331	34.47
pybbr	4.886373	34.39
pybbr	4.888628	35.48
pybbr	4.889759	35.46
pybbr	4.890822	35.38
pybbr	4.891962	35.36
pybbr	4.892137	34.35
pybbr	4.894301	35.37
pybbr	4.896363	36.30
pybbr	4.896379	35.17
pybbr	4.897717	35.36
pybbr	4.898830	35.33
pybbr	4.900218	35.58
pybbr	4.901336	35.55
pybbr	4.902444	35.55
pybbr	4.904774	36.74
pybbr	4.904790	35.57
pybbr	4.907115	36.80
