Scheme	Traffic	Time (s)	Throughput (Mbit/s)
bbr	ingress	7.20	8.80
bbr	ingress	7.35	9.12
bbr	ingress	7.50	8.64
bbr	ingress	7.65	9.12
bbr	ingress	7.80	9.28
bbr	ingress	7.95	6.88
bbr	ingress	8.10	9.28
bbr	ingress	8.25	7.36
bbr	ingress	8.40	6.56
bbr	ingress	8.55	6.40
bbr	ingress	8.70	7.52
bbr	ingress	8.85	6.72
bbr	ingress	9.00	5.44
bbr	ingress	9.15	8.80
bbr	ingress	9.30	4.96
bbr	ingress	9.45	6.08
bbr	ingress	9.60	6.08
bbr	ingress	9.75	6.88
bbr	ingress	9.90	4.16
bbr	ingress	10.05	4.64
bbr	ingress	10.20	6.08
bbr	ingress	10.35	7.52
bbr	ingress	10.50	7.52
bbr	ingress	10.65	4.16
bbr	ingress	10.80	4.64
bbr	ingress	10.95	3.84
bbr	ingress	11.10	0.64
bbr	ingress	11.25	3.20
bbr	ingress	11.40	5.12
bbr	ingress	11.55	4.00
bbr	ingress	11.70	4.16
bbr	ingress	11.85	6.88
bbr	ingress	12.00	6.08
bbr	ingress	12.15	4.32
bbr	ingress	12.30	2.24
bbr	ingress	12.45	3.76
bbr	ingress	12.60	0.88
bbr	ingress	12.75	4.48
bbr	ingress	12.90	6.08
bbr	ingress	13.05	6.56
bbr	ingress	13.20	1.44
bbr	ingress	13.35	2.08
bbr	ingress	13.50	6.88
bbr	ingress	13.65	3.68
bbr	ingress	13.80	1.92
bbr	ingress	13.95	3.36
bbr	ingress	14.10	3.04
bbr	ingress	14.25	2.40
bbr	ingress	14.40	2.56
bbr	ingress	14.55	3.84
bbr	ingress	14.70	2.72
bbr	ingress	14.85	3.20
bbr	ingress	15.00	2.08
bbr	ingress	15.15	0.32
bbr	ingress	15.30	6.40
bbr	ingress	15.45	3.68
bbr	ingress	15.60	3.68
bbr	ingress	15.75	0.80
bbr	ingress	15.90	3.84
bbr	ingress	16.05	1.36
bbr	ingress	16.20	3.04
bbr	ingress	16.35	2.96
bbr	ingress	16.50	0.00
bbr	ingress	16.65	3.36
bbr	ingress	16.80	0.64
bbr	ingress	16.95	3.04
bbr	ingress	17.10	2.56
bbr	ingress	17.25	1.92
bbr	ingress	17.40	2.56
bbr	ingress	17.55	2.56
bbr	ingress	17.70	1.28
bbr	ingress	17.85	1.12
bbr	ingress	18.00	0.64
bbr	ingress	18.15	0.24
bbr	ingress	18.30	3.28
bbr	ingress	18.45	3.04
bbr	ingress	18.60	3.68
bbr	ingress	18.75	3.52
bbr	ingress	18.90	3.84
bbr	ingress	19.05	4.32
bbr	ingress	19.20	4.48
bbr	ingress	19.35	4.96
bbr	ingress	19.50	5.60
bbr	ingress	19.65	5.92
bbr	ingress	19.80	7.20
bbr	ingress	19.95	7.68
bbr	ingress	20.10	8.80
bbr	ingress	20.25	9.76
bbr	ingress	20.40	10.56
bbr	ingress	20.55	9.52
bbr	ingress	20.70	10.80
bbr	ingress	20.85	11.68
bbr	ingress	21.00	11.52
bbr	ingress	21.15	12.00
bbr	ingress	21.30	12.64
bbr	ingress	21.45	13.92
bbr	ingress	21.60	14.72
bbr	ingress	21.75	12.00
bbr	ingress	21.90	14.08
bbr	ingress	22.05	15.04
bbr	ingress	22.20	12.80
bbr	ingress	22.35	10.40
bbr	ingress	22.50	12.16
bbr	ingress	22.65	9.44
bbr	ingress	22.80	10.56
bbr	ingress	22.95	12.48
bbr	ingress	23.10	11.52
bbr	ingress	23.25	10.88
bbr	ingress	23.40	7.52
bbr	ingress	23.55	0.80
bbr	ingress	23.70	2.88
bbr	ingress	23.85	12.96
bbr	ingress	24.00	8.96
bbr	ingress	24.15	9.12
bbr	ingress	24.30	6.72
bbr	ingress	24.45	10.72
bbr	ingress	24.60	11.20
bbr	ingress	24.75	10.88
bbr	ingress	24.90	8.80
bbr	ingress	25.05	9.12
bbr	ingress	25.20	9.12
bbr	ingress	25.35	10.56
bbr	ingress	25.50	9.12
bbr	ingress	25.65	7.20
bbr	ingress	25.80	7.68
bbr	ingress	25.95	6.08
bbr	ingress	26.10	9.44
bbr	ingress	26.25	6.24
bbr	ingress	26.40	8.48
bbr	ingress	26.55	8.16
bbr	ingress	26.70	5.92
bbr	ingress	26.85	6.96
bbr	ingress	27.00	7.44
bbr	ingress	27.15	8.48
bbr	ingress	27.30	5.76
bbr	ingress	27.45	8.80
bbr	ingress	27.60	8.80
bbr	ingress	27.75	10.08
